duration (s),mode,map,score,kills,deaths,k/d,assists,headshots,accuracy (%),avg kill dist (m),fave weapon,fave rig,fave trait,win?
590,0,3,250,20,20,1,7,3,0.219,16.0,1,2,2,1
590,0,3,250,19,14,1.36,11,3,0.168,14.8,1,0,0,1
590,0,3,250,26,17,1.53,8,3,0.217,15.5,0,3,3,1
590,0,3,250,20,17,1.18,5,1,0.233,13.4,1,1,1,1
590,0,3,166,18,24,0.75,4,2,0.213,14.2,1,0,0,0
590,0,3,166,18,23,0.78,11,0,0.236,13.2,1,1,1,0
590,0,3,166,19,19,1,5,2,0.196,18.8,1,3,3,0
590,0,3,166,13,19,0.68,5,1,0.132,19.5,0,2,2,0
625,2,6,2,26,27,0.96,9,2,0.247,18.0,1,0,0,0
625,2,6,2,19,29,0.66,4,1,0.17,21.6,0,4,4,0
625,2,6,2,20,30,0.67,11,0,0.188,15.6,1,2,2,0
625,2,6,2,22,31,0.71,12,2,0.254,12.6,3,1,1,0
625,2,6,11,23,23,1,6,2,0.24,19.3,3,4,4,1
625,2,6,11,43,18,2.39,10,2,0.285,21.9,0,1,1,1
625,2,6,11,26,24,1.08,12,1,0.227,15.9,1,0,0,1
625,2,6,11,25,22,1.14,9,2,0.273,14.6,3,2,2,1
612,0,3,142,15,23,0.65,5,2,0.221,14.8,3,1,1,0
612,0,3,142,17,26,0.65,11,1,0.226,15.4,1,0,0,0
612,0,3,142,14,23,0.61,7,1,0.182,23.4,0,2,2,0
612,0,3,142,22,19,1.16,3,0,0.231,12.6,1,3,3,0
612,0,3,250,21,16,1.31,7,1,0.185,15.8,1,0,0,1
612,0,3,250,25,16,1.56,8,3,0.251,23.8,0,1,1,1
612,0,3,250,19,15,1.27,7,1,0.251,14.9,1,2,2,1
612,0,3,250,26,21,1.24,9,2,0.272,15.8,1,3,3,1
470,0,0,250,15,19,0.79,4,0,0.233,15.4,1,2,2,1
470,0,0,250,24,13,1.85,10,0,0.227,18.2,0,3,3,1
470,0,0,250,27,13,2.08,4,4,0.254,17.5,1,0,0,1
470,0,0,250,16,11,1.45,6,1,0.2,21.5,0,1,1,1
470,0,0,97,15,21,0.71,2,0,0.166,19.5,0,2,2,0
470,0,0,97,7,21,0.33,3,1,0.192,17.2,0,1,1,0
470,0,0,97,14,21,0.67,2,2,0.237,16.1,0,0,0,0
470,0,0,97,20,19,1.05,2,3,0.315,15.6,0,3,3,0
732,1,5,4,8,9,0.89,0,1,0.245,13.5,1,2,2,0
732,1,5,4,4,8,0.5,5,1,0.168,13.1,1,0,0,0
732,1,5,4,5,8,0.62,2,0,0.222,13.2,0,3,3,0
732,1,5,4,9,8,1.12,0,2,0.287,9.4m,1,1,1,0
732,1,5,6,13,6,2.17,1,0,0.257,9.1m,1,0,0,1
732,1,5,6,3,9,0.33,3,0,0.169,8.8m,1,1,1,1
732,1,5,6,15,5,3,2,1,0.236,12.0,1,3,3,1
732,1,5,6,2,6,0.33,3,0,0.226,12.4,0,4,4,1
722,1,5,6,15,6,2.5,3,0,0.225,11.4,3,1,1,1
722,1,5,6,10,5,2,6,0,0.251,15.4,1,0,0,1
722,1,5,6,3,7,0.43,2,0,0.149,19.7,0,2,2,1
722,1,5,6,4,9,0.44,5,1,0.15,8.5m,3,3,3,1
722,1,5,4,8,8,1,3,0,0.179,18.1,0,0,0,0
722,1,5,4,6,8,0.75,3,0,0.183,20.1,0,1,1,0
722,1,5,4,8,8,1,3,2,0.174,12.4,1,2,2,0
722,1,5,4,5,9,0.56,1,1,0.25,7.1m,3,3,3,0
615,2,6,4,18,27,0.67,10,0,0.156,9.7m,1,4,4,0
615,2,6,4,15,25,0.6,14,1,0.173,16.7,1,0,0,0
615,2,6,4,28,26,1.08,5,0,0.215,14.8,0,3,3,0
615,2,6,4,28,24,1.17,12,2,0.22,13.4,1,1,1,0
615,2,6,13,23,26,0.88,11,2,0.283,11.0,3,0,0,1
615,2,6,13,28,22,1.27,6,0,0.251,15.0,1,1,1,1
615,2,6,13,28,22,1.27,4,2,0.23,12.1,1,3,3,1
615,2,6,13,23,19,1.21,3,0,0.178,20.0,0,4,4,1
833,1,1,6,6,6,1,2,0,0.266,11.0,1,2,2,1
833,1,1,6,9,7,1.29,1,1,0.222,16.7,0,3,3,1
833,1,1,6,7,8,0.88,0,1,0.261,16.4,1,0,0,1
833,1,1,6,8,9,0.89,2,1,0.213,13.6,1,1,1,1
833,1,1,5,8,8,1,4,0,0.219,22.2,0,2,2,0
833,1,1,5,8,8,1,1,1,0.223,28.9,0,1,1,0
833,1,1,5,7,7,1,0,0,0.209,13.5,0,0,0,0
833,1,1,5,7,8,0.88,0,0,0.23,16.4,1,3,3,0
666,0,3,241,24,24,1,8,2,0.246,15.7,0,0,0,0
666,0,3,241,24,19,1.26,5,2,0.258,22.3,0,1,1,0
666,0,3,241,24,20,1.2,7,2,0.254,12.0,1,3,3,0
666,0,3,241,13,24,0.54,9,1,0.172,14.2,1,2,2,0
666,0,3,250,22,19,1.16,9,1,0.245,17.5,0,1,1,1
666,0,3,250,17,22,0.77,6,2,0.191,19.3,1,0,0,1
666,0,3,250,25,26,0.96,9,1,0.217,15.5,1,2,2,1
666,0,3,250,23,19,1.21,4,2,0.228,12.4,1,3,3,1
615,2,6,4,24,28,0.86,7,2,0.228,11.1,3,1,1,0
615,2,6,4,20,26,0.77,9,1,0.271,15.7,1,0,0,0
615,2,6,4,20,23,0.87,6,0,0.235,19.6,0,4,4,0
615,2,6,4,21,29,0.72,5,2,0.224,14.2,1,3,3,0
615,2,6,12,28,18,1.56,8,3,0.245,14.7,1,0,0,1
615,2,6,12,24,21,1.14,8,0,0.235,21.0,0,1,1,1
615,2,6,12,29,24,1.21,4,3,0.257,15.1,1,4,4,1
615,2,6,12,25,22,1.14,6,0,0.281,15.1,3,3,3,1
626,2,2,13,32,21,1.52,9,0,0.253,16.0,1,4,4,1
626,2,2,13,20,21,0.95,12,1,0.24,13.5,3,3,3,1
626,2,2,13,28,20,1.4,9,2,0.25,13.0,3,0,0,1
626,2,2,13,26,24,1.08,8,2,0.215,10.7,3,1,1,1
626,2,2,6,25,26,0.96,5,1,0.248,11.9,3,4,4,0
626,2,2,6,17,28,0.61,9,0,0.225,17.5,1,1,1,0
626,2,2,6,20,27,0.74,5,0,0.257,12.3,3,0,0,0
626,2,2,6,24,27,0.89,8,2,0.245,11.8,3,3,3,0
661,0,1,250,34,25,1.36,7,1,0.252,15.7,1,2,2,1
661,0,1,250,27,24,1.12,11,1,0.166,14.2,1,0,0,1
661,0,1,250,25,28,0.89,7,3,0.2,15.5,0,3,3,1
661,0,1,250,30,30,1,8,0,0.25,19.7,1,1,1,1
661,0,1,154,29,28,1.04,9,3,0.216,11.7,1,0,0,0
661,0,1,154,29,34,0.85,11,4,0.222,13.7,1,1,1,0
661,0,1,154,24,30,0.8,5,2,0.223,16.9,3,3,3,0
661,0,1,154,25,24,1.04,8,4,0.182,18.4,0,2,2,0
516,1,5,2,5,7,0.71,2,0,0.21,13.0,3,2,2,0
516,1,5,2,7,6,1.17,2,1,0.201,10.3,0,0,0,0
516,1,5,2,2,7,0.29,3,0,0.216,16.4,1,3,3,0
516,1,5,2,2,8,0.25,1,0,0.143,7.8m,3,1,1,0
516,1,5,6,7,3,2.33,2,1,0.212,22.6,0,1,1,1
516,1,5,6,4,5,0.8,2,1,0.134,18.6,0,0,0,1
516,1,5,6,6,4,1.5,2,0,0.191,10.6,0,2,2,1
516,1,5,6,11,4,2.75,2,0,0.282,17.7,3,3,3,1
743,0,1,213,30,34,0.88,13,3,0.205,16.1,3,1,1,1
743,0,1,213,30,33,0.91,19,1,0.221,13.6,1,0,0,1
743,0,1,213,30,27,1.11,11,2,0.203,21.9,0,2,2,1
743,0,1,213,36,26,1.38,10,2,0.198,11.8,3,3,3,1
743,0,1,207,27,35,0.77,8,2,0.24,15.5,1,0,0,0
743,0,1,207,27,30,0.9,14,1,0.229,18.3,0,1,1,0
743,0,1,207,31,29,1.07,8,1,0.212,12.7,1,2,2,0
743,0,1,207,35,32,1.09,11,2,0.222,11.8,3,3,3,0
756,1,0,6,8,6,1.33,3,0,0.193,18.8,1,4,4,1
756,1,0,6,8,8,1,3,1,0.144,14.3,1,0,0,1
756,1,0,6,10,6,1.67,3,1,0.22,16.0,0,3,3,1
756,1,0,6,9,7,1.29,5,1,0.211,18.3,1,1,1,1
756,1,0,5,5,10,0.5,2,0,0.239,12.1,1,0,0,0
756,1,0,5,10,8,1.25,3,0,0.152,19.0,0,1,1,0
756,1,0,5,9,8,1.12,3,1,0.28,14.8,1,3,3,0
756,1,0,5,3,9,0.33,5,0,0.083,19.4,0,4,4,0
616,2,6,9,19,29,0.66,8,0,0.21,12.0,3,0,0,0
616,2,6,9,29,21,1.38,10,2,0.276,22.5,0,4,4,0
616,2,6,9,23,28,0.82,12,1,0.247,14.0,1,3,3,0
616,2,6,9,17,28,0.61,17,2,0.193,16.5,1,2,2,0
616,2,6,22,32,22,1.45,11,4,0.244,18.8,0,1,1,1
616,2,6,22,18,21,0.86,12,1,0.207,16.7,1,0,0,1
616,2,6,22,32,23,1.39,7,1,0.205,14.9,1,4,4,1
616,2,6,22,24,22,1.09,9,0,0.221,12.0,3,3,3,1
708,1,0,4,5,6,0.83,1,1,0.18,16.2,0,1,1,0
708,1,0,4,6,6,1,2,0,0.162,20.0,1,0,0,0
708,1,0,4,5,7,0.71,1,0,0.18,29.9,0,2,2,0
708,1,0,4,1,8,0.12,3,0,0.154,28.7,1,3,3,0
708,1,0,6,7,4,1.75,1,1,0.202,18.9,0,0,0,1
708,1,0,6,9,5,1.8,0,0,0.198,20.4,0,1,1,1
708,1,0,6,6,5,1.2,3,2,0.206,14.1,3,2,2,1
708,1,0,6,5,4,1.25,1,0,0.163,20.4,0,3,3,1
534,0,3,250,16,18,0.89,15,1,0.191,16.3,1,0,0,1
534,0,3,250,26,12,2.17,4,3,0.23,17.7,1,3,3,1
534,0,3,250,27,15,1.8,4,2,0.225,11.7,1,1,1,1
534,0,3,250,14,15,0.93,7,0,0.215,15.2,1,2,2,1
534,0,3,130,13,22,0.59,5,0,0.238,14.9,0,0,0,0
534,0,3,130,14,20,0.7,3,0,0.091,10.6,3,3,3,0
534,0,3,130,19,21,0.9,4,1,0.255,15.5,0,2,2,0
534,0,3,130,14,21,0.67,6,1,0.241,13.9,1,1,1,0
614,0,0,250,14,21,0.67,10,1,0.259,21.5,0,2,2,1
614,0,0,250,25,15,1.67,3,1,0.259,19.3,0,1,1,1
614,0,0,250,22,18,1.22,6,2,0.202,21.8,1,3,3,1
614,0,0,250,18,21,0.86,7,2,0.183,14.4,0,0,0,1
614,0,0,212,17,18,0.94,3,0,0.263,17.6,0,3,3,0
614,0,0,212,23,21,1.1,9,4,0.18,10.8,1,0,0,0
614,0,0,212,16,22,0.73,5,0,0.193,26.2,0,2,2,0
614,0,0,212,19,18,1.06,5,2,0.255,15.1,1,1,1,0
571,1,5,1,7,6,1.17,2,0,0.168,16.6,3,0,0,0
571,1,5,1,3,7,0.43,1,0,0.247,10.3,1,3,3,0
571,1,5,1,0,6,0,0,0,0.203,0.0m,3,1,1,0
571,1,5,1,7,4,1.75,3,0,0.26,10.5,0,2,2,0
571,1,5,6,4,5,0.8,4,1,0.174,8.4m,1,0,0,1
571,1,5,6,6,3,2,1,0,0.14,9.7m,3,3,3,1
571,1,5,6,6,4,1.5,3,1,0.212,14.0,1,2,2,1
571,1,5,6,7,5,1.4,2,0,0.245,13.6,1,1,1,1
762,1,1,5,6,8,0.75,1,0,0.248,24.9,0,2,2,0
762,1,1,5,5,9,0.56,4,0,0.285,11.7,1,1,1,0
762,1,1,5,8,10,0.8,2,1,0.189,13.7,1,4,4,0
762,1,1,5,12,7,1.71,4,2,0.186,16.1,1,0,0,0
762,1,1,6,4,7,0.57,2,0,0.233,18.2,0,3,3,1
762,1,1,6,6,10,0.6,5,0,0.208,20.7,1,0,0,1
762,1,1,6,12,6,2,1,3,0.29,30.6,2,2,2,1
762,1,1,6,12,8,1.5,4,0,0.268,14.7,1,1,1,1
625,2,6,6,20,24,0.83,11,0,0.197,10.4,3,0,0,1
625,2,6,6,25,21,1.19,3,1,0.23,14.7,1,4,4,1
625,2,6,6,32,24,1.33,7,2,0.272,11.0,3,1,1,1
625,2,6,6,23,22,1.05,6,3,0.243,21.0,0,2,2,1
625,2,6,5,17,27,0.63,12,0,0.229,13.4,0,4,4,0
625,2,6,5,24,25,0.96,7,2,0.089,11.9,3,3,3,0
625,2,6,5,22,25,0.88,7,1,0.241,17.1,1,1,1,0
625,2,6,5,28,23,1.22,9,4,0.27,12.7,1,0,0,0
606,0,1,138,23,29,0.79,9,0,0.21,17.4,1,0,0,0
606,0,1,138,29,24,1.21,8,1,0.211,17.8,1,3,3,0
606,0,1,138,15,29,0.52,8,0,0.194,11.7,3,1,1,0
606,0,1,138,20,24,0.83,8,2,0.228,20.2,1,2,2,0
606,0,1,250,23,22,1.05,11,1,0.228,16.8,1,0,0,1
606,0,1,250,29,23,1.26,4,2,0.098,10.3,3,3,3,1
606,0,1,250,25,22,1.14,8,1,0.241,18.7,0,2,2,1
606,0,1,250,29,20,1.45,9,2,0.234,12.3,1,1,1,1
829,2,2,4,31,29,1.07,11,2,0.238,13.1,1,2,2,1
829,2,2,4,32,26,1.23,13,1,0.221,13.8,3,1,1,1
829,2,2,4,29,28,1.04,18,2,0.233,12.4,3,4,4,1
829,2,2,4,34,30,1.13,9,2,0.238,13.6,3,0,0,1
829,2,2,2,25,35,0.71,11,0,0.194,11.5,3,2,2,0
829,2,2,2,33,30,1.1,15,2,0.227,10.4,3,0,0,0
829,2,2,2,29,31,0.94,13,3,0.231,12.5,1,4,4,0
829,2,2,2,26,30,0.87,14,0,0.257,12.5,3,1,1,0
508,0,3,250,18,18,1,10,2,0.261,23.4,0,2,2,1
508,0,3,250,15,15,1,8,2,0.221,19.4,0,1,1,1
508,0,3,250,25,18,1.39,9,0,0.268,16.7,1,3,3,1
508,0,3,250,19,13,1.46,6,0,0.209,19.7,0,0,0,1
508,0,3,119,19,18,1.06,5,3,0.216,19.0,0,3,3,0
508,0,3,119,17,18,0.94,2,2,0.189,12.1,1,0,0,0
508,0,3,119,12,24,0.5,8,2,0.236,18.6,0,2,2,0
508,0,3,119,16,17,0.94,6,2,0.266,16.0,1,1,1,0
772,1,0,6,9,6,1.5,2,1,0.212,15.4,0,0,0,1
772,1,0,6,9,8,1.12,4,0,0.163,18.2,1,3,3,1
772,1,0,6,3,7,0.43,2,0,0.25,13.5,3,1,1,1
772,1,0,6,9,7,1.29,4,1,0.228,17.4,1,2,2,1
772,1,0,4,8,8,1,2,0,0.192,21.5,0,0,0,0
772,1,0,4,4,9,0.44,2,0,0.064,9.1m,3,3,3,0
772,1,0,4,6,8,0.75,2,0,0.221,17.0,1,2,2,0
772,1,0,4,9,5,1.8,1,0,0.22,12.9,0,1,1,0
447,0,0,101,13,18,0.72,4,0,0.211,14.7,1,0,0,0
447,0,0,101,16,17,0.94,4,1,0.213,21.8,0,2,2,0
447,0,0,101,14,16,0.88,1,1,0.199,15.9,1,1,1,0
447,0,0,101,6,21,0.29,3,1,0.183,11.1,1,3,3,0
447,0,0,250,17,12,1.42,4,1,0.209,20.9,0,1,1,1
447,0,0,250,20,10,2,5,0,0.238,23.5,0,2,2,1
447,0,0,250,16,15,1.07,6,1,0.243,17.2,0,0,0,1
447,0,0,250,19,12,1.58,2,1,0.288,15.3,1,3,3,1
529,0,0,168,11,21,0.52,4,0,0.198,14.4,1,2,2,0
529,0,0,168,16,18,0.89,6,2,0.215,22.2,0,0,0,0
529,0,0,168,12,20,0.6,6,1,0.197,24.1,0,3,3,0
529,0,0,168,19,15,1.27,3,3,0.196,13.7,1,1,1,0
529,0,0,250,12,17,0.71,10,0,0.215,16.7,0,3,3,1
529,0,0,250,19,15,1.27,5,1,0.256,13.4,1,0,0,1
529,0,0,250,22,15,1.47,8,1,0.202,24.2,0,2,2,1
529,0,0,250,21,11,1.91,3,1,0.257,20.8,0,1,1,1
557,0,3,250,16,14,1.14,3,0,0.255,16.1,1,1,1,1
557,0,3,250,14,17,0.82,2,0,0.2,19.6,0,2,2,1
557,0,3,250,20,19,1.05,8,2,0.201,14.8,1,3,3,1
557,0,3,250,19,12,1.58,4,2,0.198,18.0,1,0,0,1
557,0,3,161,20,16,1.25,5,2,0.229,24.2,0,2,2,0
557,0,3,161,13,18,0.72,9,2,0.158,16.2,1,0,0,0
557,0,3,161,11,17,0.65,6,1,0.185,12.7,3,3,3,0
557,0,3,161,18,18,1,4,2,0.234,14.4,1,1,1,0
571,0,3,156,21,19,1.11,7,3,0.209,15.6,3,2,2,0
571,0,3,156,16,22,0.73,6,2,0.208,14.1,1,1,1,0
571,0,3,156,14,21,0.67,10,1,0.244,14.9,1,0,0,0
571,0,3,156,18,18,1,5,1,0.222,17.0,0,3,3,0
571,0,3,250,19,18,1.06,8,0,0.243,15.0,1,0,0,1
571,0,3,250,23,13,1.77,6,1,0.246,13.3,3,1,1,1
571,0,3,250,15,23,0.65,5,1,0.232,16.9,1,3,3,1
571,0,3,250,23,15,1.53,4,1,0.249,20.5,0,2,2,1
409,1,1,0,2,6,0.33,0,0,0.195,31.2,0,0,0,0
409,1,1,0,2,6,0.33,0,0,0.164,16.2,0,2,2,0
409,1,1,0,2,5,0.4,0,0,0.294,20.4,0,1,1,0
409,1,1,0,1,6,0.17,0,1,0.137,31.9,1,3,3,0
409,1,1,6,4,5,0.8,2,0,0.192,6.0m,1,1,1,1
409,1,1,6,4,1,4,2,0,0.259,36.3,2,2,2,1
409,1,1,6,5,1,5,2,1,0.23,17.5,1,0,0,1
409,1,1,6,10,1,10,1,0,0.292,15.6,3,3,3,1
549,1,5,6,8,5,1.6,1,0,0.263,14.9,3,1,1,1
549,1,5,6,5,5,1,2,0,0.228,13.8,1,2,2,1
549,1,5,6,9,4,2.25,3,1,0.19,19.0,0,3,3,1
549,1,5,6,6,3,2,5,0,0.236,19.0,1,0,0,1
549,1,5,2,6,8,0.75,3,0,0.193,16.2,0,4,4,0
549,1,5,2,1,7,0.14,2,0,0.184,23.2,1,0,0,0
549,1,5,2,9,6,1.5,1,2,0.265,8.1m,3,3,3,0
549,1,5,2,1,7,0.14,1,0,0.137,8.7m,1,1,1,0
748,1,1,6,8,4,2,0,0,0.341,13.4,3,2,2,1
748,1,1,6,4,6,0.67,3,0,0.215,15.7,0,0,0,1
748,1,1,6,8,6,1.33,3,0,0.263,16.7,0,3,3,1
748,1,1,6,7,6,1.17,2,0,0.265,15.2,0,1,1,1
748,1,1,2,10,7,1.43,2,0,0.251,15.8,0,3,3,0
748,1,1,2,3,8,0.38,2,0,0.162,15.5,3,0,0,0
748,1,1,2,5,6,0.83,1,0,0.199,22.5,0,2,2,0
748,1,1,2,3,6,0.5,2,0,0.188,16.1,2,1,1,0
607,1,5,2,4,7,0.57,2,0,0.143,9.1m,3,3,3,0
607,1,5,2,6,7,0.86,0,0,0.176,19.4,1,1,1,0
607,1,5,2,4,7,0.57,3,0,0.19,11.0,1,0,0,0
607,1,5,2,4,8,0.5,3,0,0.167,12.3,0,2,2,0
607,1,5,6,9,5,1.8,2,0,0.29,13.9,3,0,0,1
607,1,5,6,3,5,0.6,2,0,0.208,8.7m,3,1,1,1
607,1,5,6,9,4,2.25,4,1,0.299,19.5,3,3,3,1
607,1,5,6,8,4,2,1,2,0.222,18.8,0,2,2,1
626,2,2,3,18,29,0.62,12,0,0.248,10.9,3,0,0,0
626,2,2,3,16,24,0.67,5,2,0.199,19.9,1,4,4,0
626,2,2,3,26,23,1.13,4,2,0.231,12.5,3,1,1,0
626,2,2,3,23,22,1.05,9,1,0.213,11.8,3,3,3,0
626,2,2,5,23,19,1.21,4,1,0.259,12.5,3,4,4,1
626,2,2,5,22,21,1.05,11,1,0.256,19.9,1,2,2,1
626,2,2,5,25,24,1.04,9,1,0.239,11.3,3,0,0,1
626,2,2,5,27,20,1.35,3,1,0.274,11.5,3,3,3,1
625,2,6,10,28,23,1.22,5,0,0.292,24.6,1,1,1,1
625,2,6,10,24,24,1,11,1,0.291,21.6,0,4,4,1
625,2,6,10,26,23,1.13,10,2,0.203,12.1,3,2,2,1
625,2,6,10,28,20,1.4,12,1,0.229,17.4,3,0,0,1
625,2,6,1,20,28,0.71,11,2,0.239,20.6,0,4,4,0
625,2,6,1,26,23,1.13,8,3,0.217,15.4,1,0,0,0
625,2,6,1,24,28,0.86,6,2,0.219,14.6,3,2,2,0
625,2,6,1,20,27,0.74,13,1,0.235,13.7,1,1,1,0
626,2,2,6,26,26,1,5,3,0.243,9.7m,3,4,4,0
626,2,2,6,23,25,0.92,12,1,0.253,14.4,1,0,0,0
626,2,2,6,11,27,0.41,4,1,0.195,12.5,3,3,3,0
626,2,2,6,20,24,0.83,6,2,0.206,11.9,3,1,1,0
626,2,2,11,25,19,1.32,6,1,0.247,17.2,1,4,4,1
626,2,2,11,16,23,0.7,10,1,0.183,13.8,3,0,0,1
626,2,2,11,33,17,1.94,8,1,0.27,18.1,1,2,2,1
626,2,2,11,27,22,1.23,4,1,0.291,10.9,3,1,1,1
625,2,6,8,21,26,0.81,6,2,0.189,14.5,1,3,3,0
625,2,6,8,18,26,0.69,13,0,0.208,14.7,3,0,0,0
625,2,6,8,33,23,1.43,8,1,0.279,13.4,3,2,2,0
625,2,6,8,21,21,1,10,3,0.211,21.1,0,4,4,0
625,2,6,9,23,27,0.85,7,2,0.204,16.8,3,0,0,1
625,2,6,9,26,23,1.13,9,4,0.231,12.1,3,1,1,1
625,2,6,9,23,21,1.1,11,4,0.278,17.2,0,4,4,1
625,2,6,9,24,22,1.09,8,1,0.226,20.4,0,2,2,1
513,0,3,111,9,20,0.45,2,1,0.211,12.8,1,2,2,0
513,0,3,111,8,18,0.44,7,0,0.182,21.9,0,0,0,0
513,0,3,111,8,21,0.38,4,0,0.215,12.5,1,3,3,0
513,0,3,111,12,19,0.63,2,2,0.154,14.7,0,1,1,0
513,0,3,250,24,8,3,6,0,0.277,17.4,1,3,3,1
513,0,3,250,18,10,1.8,6,0,0.182,13.6,3,0,0,1
513,0,3,250,23,8,2.88,10,1,0.227,23.1,0,2,2,1
513,0,3,250,13,11,1.18,5,0,0.23,15.6,0,1,1,1
596,0,0,190,20,23,0.87,7,1,0.225,19.8,0,1,1,0
596,0,0,190,14,24,0.58,10,1,0.165,13.7,1,2,2,0
596,0,0,190,21,25,0.84,6,2,0.2,15.4,1,0,0,0
596,0,0,190,26,20,1.3,5,1,0.266,14.7,1,3,3,0
596,0,0,250,18,18,1,5,0,0.256,21.1,0,3,3,1
596,0,0,250,23,16,1.44,7,1,0.206,15.0,0,2,2,1
596,0,0,250,22,22,1,7,0,0.217,24.1,0,0,0,1
596,0,0,250,29,25,1.16,6,3,0.268,12.9,1,1,1,1
419,0,0,250,16,6,2.67,6,1,0.211,16.6,1,1,1,1
419,0,0,250,12,10,1.2,5,1,0.206,21.9,0,0,0,1
419,0,0,250,23,10,2.3,4,2,0.27,16.4,1,3,3,1
419,0,0,250,22,8,2.75,8,1,0.233,14.3,1,2,2,1
419,0,0,50,6,18,0.33,3,0,0.137,16.2,0,2,2,0
419,0,0,50,8,21,0.38,0,0,0.206,11.9,1,1,1,0
419,0,0,50,10,14,0.71,0,0,0.172,18.3,0,0,0,0
419,0,0,50,10,20,0.5,1,2,0.213,17.4,0,3,3,0
645,0,4,250,27,24,1.12,18,3,0.235,18.6,0,3,3,1
645,0,4,250,22,21,1.05,13,3,0.197,12.3,3,1,1,1
645,0,4,250,25,19,1.32,9,1,0.242,16.0,1,0,0,1
645,0,4,250,32,18,1.78,5,4,0.217,13.1,3,2,2,1
645,0,4,242,20,24,0.83,6,1,0.248,15.5,1,2,2,0
645,0,4,242,18,26,0.69,6,1,0.191,14.4,3,3,3,0
645,0,4,242,22,26,0.85,6,2,0.238,15.1,3,1,1,0
645,0,4,242,21,30,0.7,5,2,0.183,10.7,3,0,0,0
717,1,1,6,4,8,0.5,1,1,0.235,9.7m,1,1,1,1
717,1,1,6,4,7,0.57,4,0,0.23,17.9,1,2,2,1
717,1,1,6,12,6,2,2,2,0.171,12.1,3,0,0,1
717,1,1,6,14,4,3.5,2,2,0.169,13.9,1,3,3,1
717,1,1,4,6,10,0.6,2,0,0.193,15.7,0,3,3,0
717,1,1,4,7,8,0.88,4,1,0.243,11.2,3,4,4,0
717,1,1,4,6,7,0.86,3,1,0.215,21.7,0,0,0,0
717,1,1,4,6,9,0.67,0,1,0.168,8.8m,3,1,1,0
712,1,1,6,0,7,0,3,0,0.081,0.0m,0,1,1,1
712,1,1,6,9,5,1.8,2,2,0.255,21.6,0,0,0,1
712,1,1,6,11,8,1.38,1,2,0.257,12.0,3,3,3,1
712,1,1,6,12,7,1.71,4,3,0.219,12.7,1,2,2,1
712,1,1,4,2,8,0.25,2,0,0.106,31.2,0,2,2,0
712,1,1,4,4,9,0.44,3,0,0.17,15.8,3,1,1,0
712,1,1,4,11,6,1.83,0,0,0.252,11.5,3,0,0,0
712,1,1,4,10,9,1.11,3,2,0.256,22.7,0,3,3,0
625,2,2,10,29,25,1.16,11,1,0.257,14.2,1,1,1,1
625,2,2,10,24,27,0.89,11,0,0.256,10.9,3,4,4,1
625,2,2,10,20,26,0.77,11,1,0.213,9.5m,3,0,0,1
625,2,2,10,38,22,1.73,6,3,0.268,12.6,4,3,3,1
625,2,2,9,33,25,1.32,10,2,0.281,13.4,3,3,3,0
625,2,2,9,16,29,0.55,4,1,0.253,10.4,3,4,4,0
625,2,2,9,28,28,1,10,1,0.246,15.3,1,0,0,0
625,2,2,9,23,29,0.79,6,0,0.236,10.2,3,1,1,0
625,2,2,9,22,23,0.96,9,3,0.218,14.0,3,1,1,1
625,2,2,9,34,25,1.36,7,1,0.282,13.5,1,0,0,1
625,2,2,9,32,24,1.33,8,0,0.256,9.8m,3,3,3,1
625,2,2,9,18,28,0.64,9,2,0.224,9.9m,3,2,2,1
625,2,2,1,28,29,0.97,10,4,0.207,12.0,3,4,4,0
625,2,2,1,31,26,1.19,8,0,0.219,12.7,3,1,1,0
625,2,2,1,27,21,1.29,9,2,0.215,10.9,3,0,0,0
625,2,2,1,14,30,0.47,16,0,0.242,10.5,3,3,3,0
957,1,3,5,8,8,1,4,0,0.25,14.4,3,3,3,0
957,1,3,5,4,8,0.5,3,1,0.131,17.2,3,1,1,0
957,1,3,5,9,5,1.8,4,1,0.371,17.8,0,0,0,0
957,1,3,5,5,9,0.56,2,0,0.192,12.5,1,2,2,0
957,1,3,6,7,5,1.4,2,1,0.218,29.5,0,2,2,1
957,1,3,6,7,7,1,5,1,0.177,26.3,0,3,3,1
957,1,3,6,8,7,1.14,3,0,0.21,13.5,3,1,1,1
957,1,3,6,8,7,1.14,3,1,0.245,27.3,2,0,0,1
559,0,4,189,19,22,0.86,8,1,0.216,13.0,1,1,1,0
559,0,4,189,13,22,0.59,5,0,0.206,12.0,3,0,0,0
559,0,4,189,22,20,1.1,8,2,0.07,12.4,3,2,2,0
559,0,4,189,17,24,0.71,5,1,0.237,11.4,3,3,3,0
559,0,4,250,21,17,1.24,8,2,0.242,11.0,3,2,2,1
559,0,4,250,19,17,1.12,5,1,0.181,10.8,3,1,1,1
559,0,4,250,28,16,1.75,6,2,0.126,13.0,3,0,0,1
559,0,4,250,20,22,0.91,10,1,0.242,16.1,1,3,3,1
704,0,3,250,27,22,1.23,12,1,0.238,21.3,0,1,1,1
704,0,3,250,22,25,0.88,9,2,0.194,14.5,1,2,2,1
704,0,3,250,28,23,1.22,10,0,0.252,13.2,3,0,0,1
704,0,3,250,28,23,1.22,9,0,0.234,16.2,1,3,3,1
