Duration(s),Mode,Map,Kills,Deaths,Kills/Death,Assists,Headshots,Accuracy(%),Avg. Kill Dist.(m),Favorite Weapon,Favorite Rig,Favorite Trait,Win/Loss,Score
706,1,3,4,5,0.8,3,0,0.147,7.6,3,1,1,0,3
706,1,3,2,5,0.4,4,0,0.197,12.2,1,3,3,1,6
706,1,3,5,7,0.71,3,0,0.299,13.3,3,0,0,1,6
706,1,3,12,5,2.4,1,0,0.235,12.4,3,2,2,1,6
706,1,3,7,5,1.4,3,0,0.188,15.9,0,1,1,1,6
626,2,2,29,22,1.32,6,3,0.243,8.9,3,0,0,1,7
626,2,2,28,20,1.4,7,2,0.237,13.2,1,4,4,1,7
626,2,2,29,22,1.32,11,1,0.269,12.3,3,3,3,1,7
626,2,2,14,22,0.64,12,1,0.2,9.9,3,1,1,1,7
626,2,2,27,25,1.08,6,1,0.217,11.3,3,2,2,0,2
626,2,2,20,29,0.69,14,1,0.218,11.8,3,0,0,0,2
626,2,2,14,21,0.67,10,0,0.226,13.2,3,4,4,0,2
626,2,2,24,25,0.96,9,1,0.205,13,3,1,1,0,2
609,0,1,23,24,0.96,8,3,0.218,13.3,1,0,0,0,168
609,0,1,22,23,0.96,8,5,0.172,16.5,1,2,2,0,168
609,0,1,28,26,1.08,7,0,0.212,22.4,0,3,3,0,168
609,0,1,18,25,0.72,9,0,0.179,12.2,3,1,1,0,168
609,0,1,29,26,1.12,9,1,0.241,16.1,3,0,0,1,250
609,0,1,17,21,0.81,4,0,0.177,13.4,3,1,1,1,250
609,0,1,30,23,1.3,6,1,0.084,15.7,1,2,2,1,250
609,0,1,22,21,1.05,9,0,0.203,20.6,0,3,3,1,250
502,0,0,24,18,1.33,10,0,0.255,18.7,0,0,0,1,250
502,0,0,23,13,1.77,9,1,0.212,22.8,0,1,1,1,250
502,0,0,16,14,1.14,10,0,0.202,15.2,1,3,3,1,250
502,0,0,17,12,1.42,7,4,0.195,22.1,0,2,2,1,250
502,0,0,12,21,0.57,2,0,0.15,21.8,0,3,3,0,92
502,0,0,17,21,0.81,5,0,0.22,14.1,0,0,0,0,92
502,0,0,17,17,1,5,2,0.205,23,0,2,2,0,92
502,0,0,11,21,0.52,3,1,0.216,22.3,0,1,1,0,92
790,1,3,11,6,1.83,1,0,0.201,13,1,0,0,1,6
790,1,3,6,7,0.86,3,0,0.165,18.6,0,4,4,1,6
790,1,3,9,7,1.29,3,1,0.165,16,0,3,3,1,6
790,1,3,5,7,0.71,1,0,0.264,13.4,3,1,1,1,6
790,1,3,5,8,0.62,2,0,0.181,20.2,3,0,0,0,3
790,1,3,8,8,1,1,1,0.232,12.1,3,1,1,0,3
790,1,3,11,7,1.57,1,0,0.1,13.7,1,2,2,0,3
790,1,3,3,8,0.38,3,0,0.158,31.6,0,3,3,0,3
753,2,2,21,27,0.78,9,0,0.221,13.4,1,0,0,0,4
753,2,2,24,27,0.89,6,0,0.214,10.5,3,4,4,0,4
753,2,2,21,26,0.81,14,1,0.189,11.5,3,2,2,0,4
753,2,2,30,27,1.11,3,2,0.241,13.3,3,1,1,0,4
753,2,2,27,28,0.96,5,1,0.264,11.1,3,0,0,1,6
753,2,2,18,24,0.75,11,1,0.181,11,3,1,1,1,6
753,2,2,22,24,0.92,12,0,0.08,10.2,3,4,4,1,6
753,2,2,39,21,1.86,9,3,0.234,16.4,1,2,2,1,6
544,0,3,16,9,1.78,6,2,0.191,14.1,3,3,3,1,250
544,0,3,23,8,2.88,8,0,0.194,16.4,3,1,1,1,250
544,0,3,10,10,1,9,1,0.28,21.6,0,0,0,1,250
544,0,3,23,19,1.21,5,3,0.229,17.3,1,2,2,1,250
544,0,3,5,20,0.25,3,0,0.194,18.2,0,1,1,0,150
544,0,3,16,15,1.07,2,0,0.189,14.9,1,0,0,0,150
544,0,3,12,20,0.6,3,4,0.184,21,1,2,2,0,150
544,0,3,13,17,0.76,4,3,0.215,11.8,3,3,3,0,150
533,0,0,20,12,1.67,9,2,0.195,21.2,0,0,0,1,250
533,0,0,13,14,0.93,10,0,0.167,17.3,1,2,2,1,250
533,0,0,23,24,0.96,5,0,0.244,18.1,1,3,3,1,250
533,0,0,26,17,1.53,5,0,0.228,14.4,1,1,1,1,250
533,0,0,16,21,0.76,4,2,0.245,17.2,1,0,0,0,149
533,0,0,17,23,0.74,6,0,0.237,15.1,1,1,1,0,149
533,0,0,21,18,1.17,1,1,0.077,18.1,1,2,2,0,149
533,0,0,13,20,0.65,7,2,0.189,21.7,0,3,3,0,149
535,1,1,0,7,0,2,0,0.29,0,3,3,3,0,1
535,1,1,5,6,0.83,2,0,0.296,12.2,0,1,1,0,1
535,1,1,7,6,1.17,1,1,0.195,25.5,0,0,0,0,1
535,1,1,3,6,0.5,3,1,0.18,18.8,0,2,2,0,1
535,1,1,4,4,1,1,1,0.203,22.9,0,1,1,1,6
535,1,1,7,3,2.33,1,1,0.221,20.9,1,0,0,1,6
535,1,1,6,5,1.2,0,2,0.205,17.3,3,2,2,1,6
535,1,1,8,3,2.67,3,1,0.25,12.6,3,3,3,1,6
625,2,6,15,21,0.71,0,2,0.24,14.1,3,3,3,0,10
625,2,6,21,22,0.95,6,1,0.237,15.7,3,1,1,0,10
625,2,6,21,24,0.88,5,2,0.263,20.2,0,0,0,0,10
625,2,6,21,28,0.75,6,1,0.204,15.9,1,4,4,0,10
625,2,6,28,20,1.4,3,0,0.235,16.8,0,1,1,1,18
625,2,6,23,18,1.28,8,6,0.193,18.4,1,0,0,1,18
625,2,6,27,19,1.42,7,3,0.195,15.7,1,4,4,1,18
625,2,6,17,21,0.81,9,0,0.228,10.7,3,3,3,1,18
847,1,1,8,7,1.14,3,0,0.25,14.8,1,0,0,0,5
847,1,1,4,8,0.5,3,0,0.152,21.7,0,4,4,0,5
847,1,1,5,9,0.56,5,0,0.216,17,1,3,3,0,5
847,1,1,12,6,2,1,0,0.255,20.2,1,1,1,0,5
847,1,1,6,10,0.6,2,0,0.178,17.1,1,0,0,1,6
847,1,1,12,6,2,1,0,0.262,10.1,3,1,1,1,6
847,1,1,8,6,1.33,2,0,0.121,29.3,0,2,2,1,6
847,1,1,4,7,0.57,1,0,0.151,23.5,0,3,3,1,6
598,0,0,18,16,1.12,2,2,0.211,16.3,3,3,3,0,229
598,0,0,16,18,0.89,7,1,0.218,16.5,0,1,1,0,229
598,0,0,15,18,0.83,13,2,0.234,20.8,0,0,0,0,229
598,0,0,20,23,0.87,2,2,0.206,16.4,1,2,2,0,229
598,0,0,11,22,0.5,9,0,0.205,25.5,0,1,1,1,250
598,0,0,18,13,1.38,7,0,0.157,15,1,0,0,1,250
598,0,0,21,17,1.24,7,1,0.222,26.5,0,2,2,1,250
598,0,0,25,17,1.47,5,2,0.216,19.7,1,3,3,1,250
487,0,3,24,10,2.4,4,0,0.263,12.4,1,2,2,1,250
487,0,3,12,12,1,10,1,0.178,16.5,0,3,3,1,250
487,0,3,23,15,1.53,5,0,0.252,15.1,3,0,0,1,250
487,0,3,15,13,1.15,7,2,0.213,17.1,3,1,1,1,250
487,0,3,13,21,0.62,5,2,0.204,12.3,3,3,3,0,95
487,0,3,11,18,0.61,5,1,0.175,21.9,0,2,2,0,95
487,0,3,15,18,0.83,2,0,0.211,12.5,1,1,1,0,95
487,0,3,11,18,0.61,8,0,0.237,20.4,0,0,0,0,95
703,1,1,4,8,0.5,4,0,0.256,15.3,1,2,2,0,4
703,1,1,10,8,1.25,0,1,0.217,22.3,0,3,3,0,4
703,1,1,6,7,0.86,1,1,0.318,14.8,3,0,0,0,4
703,1,1,7,8,0.88,2,0,0.106,13.5,0,1,1,0,4
703,1,1,5,6,0.83,1,0,0.184,12,3,3,3,1,6
703,1,1,5,8,0.62,3,1,0.185,16.2,0,2,2,1,6
703,1,1,13,7,1.86,0,1,0.197,20.3,1,1,1,1,6
703,1,1,8,6,1.33,3,1,0.308,9.9,0,0,0,1,6
601,0,3,17,18,0.94,8,0,0.227,18.9,0,0,0,1,250
601,0,3,15,20,0.75,7,2,0.266,20.2,0,1,1,1,250
601,0,3,19,15,1.27,7,3,0.205,12.1,1,3,3,1,250
601,0,3,23,13,1.77,4,2,0.197,12.4,3,2,2,1,250
601,0,3,18,20,0.9,4,2,0.217,11,1,0,0,0,211
601,0,3,19,20,0.95,5,3,0.243,8.8,3,1,1,0,211
601,0,3,15,15,1,6,2,0.109,20.8,0,2,2,0,211
601,0,3,14,19,0.74,9,2,0.207,19.4,1,3,3,0,211
719,1,1,6,10,0.6,2,1,0.204,16.7,0,2,2,1,6
719,1,1,6,6,1,1,0,0.193,21.7,0,0,0,1,6
719,1,1,10,5,2,1,0,0.23,15.3,1,3,3,1,6
719,1,1,4,9,0.44,1,0,0.155,15,0,1,1,1,6
719,1,1,6,6,1,4,1,0.201,13.2,1,0,0,0,4
719,1,1,7,8,0.88,3,0,0.213,7.2,3,1,1,0,4
719,1,1,10,5,2,2,1,0.09,23.1,0,2,2,0,4
719,1,1,7,8,0.88,1,1,0.171,27,0,3,3,0,4
625,2,6,16,24,0.67,8,2,0.245,15.8,1,4,4,0,10
625,2,6,19,27,0.7,7,1,0.253,17.8,0,3,3,0,10
625,2,6,24,25,0.96,7,0,0.26,13.5,3,0,0,0,10
625,2,6,27,22,1.23,2,0,0.244,10.2,3,1,1,0,10
625,2,6,23,20,1.15,8,5,0.205,14.7,3,2,2,1,12
625,2,6,18,24,0.75,9,0,0.237,23.1,1,4,4,1,12
625,2,6,35,21,1.67,7,2,0.234,13.7,3,1,1,1,12
625,2,6,22,21,1.05,12,2,0.237,18.9,0,0,0,1,12
625,2,6,27,21,1.29,11,2,0.238,13.6,3,0,0,1,15
625,2,6,25,16,1.56,7,3,0.257,26.9,0,4,4,1,15
625,2,6,20,21,0.95,9,2,0.214,14.9,1,3,3,1,15
625,2,6,27,15,1.8,2,4,0.209,22.7,0,1,1,1,15
625,2,6,15,28,0.54,7,0,0.2,17,3,0,0,0,3
625,2,6,19,25,0.76,7,1,0.262,13.6,1,1,1,0,3
625,2,6,20,22,0.91,4,1,0.093,20.7,0,4,4,0,3
625,2,6,19,24,0.79,5,0,0.223,18.8,1,3,3,0,3
660,0,0,15,25,0.6,3,0,0.209,14.7,1,2,2,0,240
660,0,0,22,26,0.85,4,2,0.228,25.9,0,3,3,0,240
660,0,0,16,28,0.57,3,0,0.22,17.8,3,0,0,0,240
660,0,0,21,18,1.17,3,1,0.191,21.5,0,1,1,0,240
660,0,0,24,13,1.85,11,4,0.144,18.3,1,3,3,1,250
660,0,0,23,20,1.15,11,2,0.23,20.9,0,2,2,1,250
660,0,0,32,22,1.45,10,1,0.203,17.1,1,1,1,1,250
660,0,0,18,19,0.95,13,2,0.198,22,0,0,0,1,250
464,0,3,11,18,0.61,6,1,0.203,18,1,1,1,0,82
464,0,3,14,18,0.78,3,2,0.188,19.2,0,2,2,0,82
464,0,3,8,18,0.44,4,0,0.206,15.1,1,0,0,0,82
464,0,3,12,17,0.71,2,1,0.235,15.8,3,3,3,0,82
464,0,3,20,8,2.5,7,1,0.228,18.9,1,2,2,1,250
464,0,3,16,12,1.33,9,1,0.25,23.1,0,1,1,1,250
464,0,3,16,12,1.33,8,1,0.249,13,1,0,0,1,250
464,0,3,19,14,1.36,4,1,0.216,15.2,3,3,3,1,250
695,0,0,30,24,1.25,7,2,0.255,12.1,1,2,2,0,213
695,0,0,21,28,0.75,13,3,0.225,16.7,0,3,3,0,213
695,0,0,19,28,0.68,9,0,0.168,11.5,1,0,0,0,213
695,0,0,22,23,0.96,7,2,0.176,20,0,1,1,0,213
695,0,0,26,25,1.04,5,0,0.223,20.3,0,0,0,1,250
695,0,0,27,25,1.08,7,1,0.234,20.3,0,1,1,1,250
695,0,0,29,20,1.45,6,1,0.216,15.5,1,3,3,1,250
695,0,0,20,22,0.91,9,1,0.19,16.4,1,2,2,1,250
496,1,1,1,6,0.17,3,0,0.131,26.8,1,1,1,0,0
496,1,1,1,6,0.17,0,0,0.162,30.2,0,2,2,0,0
496,1,1,1,6,0.17,1,0,0.142,18.2,1,0,0,0,0
496,1,1,2,6,0.33,0,0,0.097,7,3,3,3,0,0
496,1,1,5,2,2.5,1,1,0.176,15.8,3,2,2,1,6
496,1,1,5,2,2.5,1,2,0.199,23.6,0,1,1,1,6
496,1,1,10,0,10,0,0,0.271,16.1,1,0,0,1,6
496,1,1,4,1,4,1,2,0.171,7.1,3,3,3,1,6
441,1,5,3,6,0.5,0,0,0.217,13.5,1,2,2,0,0
441,1,5,5,6,0.83,1,0,0.219,13.5,0,3,3,0,0
441,1,5,4,6,0.67,0,0,0.21,11.6,3,0,0,0,0
441,1,5,1,6,0.17,0,0,0.208,15.4,0,1,1,0,0
441,1,5,7,4,1.75,4,1,0.204,11.5,3,2,2,1,6
441,1,5,6,3,2,1,0,0.207,18.5,0,0,0,1,6
441,1,5,2,3,0.67,0,0,0.348,7.9,1,3,3,1,6
441,1,5,9,3,3,1,1,0.219,7.9,3,1,1,1,6
615,2,6,24,21,1.14,10,4,0.242,12.8,3,4,4,0,4
615,2,6,25,21,1.19,6,1,0.242,26.9,0,2,2,0,4
615,2,6,28,22,1.27,6,3,0.243,19.7,1,0,0,0,4
615,2,6,13,24,0.54,9,0,0.198,12.3,3,3,3,0,4
615,2,6,27,22,1.23,4,2,0.247,15.8,3,4,4,1,8
615,2,6,21,21,1,7,2,0.251,22,0,1,1,1,8
615,2,6,22,24,0.92,10,0,0.246,14.9,1,0,0,1,8
615,2,6,18,23,0.78,4,1,0.249,15.3,3,2,2,1,8
761,2,1,21,27,0.78,12,1,0.271,13.9,1,4,4,0,10
761,2,1,35,24,1.46,8,1,0.258,18.3,0,3,3,0,10
761,2,1,25,27,0.93,7,0,0.261,16,3,0,0,0,10
761,2,1,18,28,0.64,7,1,0.21,12.9,3,1,1,0,10
761,2,1,28,25,1.12,7,1,0.265,11.7,3,0,0,1,12
761,2,1,25,23,1.09,6,1,0.225,20.3,0,4,4,1,12
761,2,1,30,24,1.25,11,3,0.215,11.9,1,3,3,1,12
761,2,1,22,27,0.81,8,2,0.242,10.2,3,1,1,1,12
506,0,0,21,12,1.75,10,0,0.253,24.5,0,1,1,1,250
506,0,0,17,15,1.13,5,1,0.245,18.9,0,2,2,1,250
506,0,0,20,11,1.82,4,1,0.218,31.1,1,0,0,1,250
506,0,0,17,17,1,5,1,0.23,12.8,1,3,3,1,250
506,0,0,13,22,0.59,7,0,0.198,18.1,0,1,1,0,114
506,0,0,10,17,0.59,10,1,0.15,14.5,1,0,0,0,114
506,0,0,19,20,0.95,4,3,0.172,23.1,0,2,2,0,114
506,0,0,13,16,0.81,5,1,0.188,21,1,3,3,0,114
571,1,5,5,7,0.71,0,0,0.187,11.8,3,1,1,0,1
571,1,5,2,7,0.29,4,0,0.165,19.5,0,2,2,0,1
571,1,5,6,6,1,2,0,0.173,9.4,1,0,0,0,1
571,1,5,2,6,0.33,1,0,0.131,8.4,3,3,3,0,1
571,1,5,6,2,3,3,0,0.195,18,0,1,1,1,6
571,1,5,11,3,3.67,4,1,0.173,13.5,1,0,0,1,6
571,1,5,3,5,0.6,1,0,0.134,24.7,0,2,2,1,6
571,1,5,5,5,1,4,0,0.214,11.8,3,3,3,1,6
626,2,1,19,23,0.83,5,1,0.22,12.9,3,4,4,0,1
626,2,1,28,18,1.56,8,2,0.261,22.4,0,2,2,0,1
626,2,1,19,21,0.9,5,1,0.233,16.5,1,0,0,0,1
626,2,1,22,25,0.88,4,1,0.292,12.5,3,3,3,0,1
626,2,1,21,21,1,6,0,0.314,17.4,0,1,1,1,2
626,2,1,23,21,1.1,6,1,0.217,19.1,1,0,0,1,2
626,2,1,18,24,0.75,7,2,0.191,15,1,2,2,1,2
626,2,1,25,22,1.14,3,1,0.231,14,3,3,3,1,2
461,0,4,19,13,1.46,5,1,0.211,12,3,1,1,1,250
461,0,4,13,12,1.08,9,0,0.237,15.1,1,2,2,1,250
461,0,4,21,17,1.24,5,2,0.245,16.3,1,0,0,1,250
461,0,4,21,11,1.91,4,3,0.224,9.7,3,3,3,1,250
461,0,4,14,18,0.78,5,2,0.224,16.1,1,1,1,0,102
461,0,4,15,16,0.94,8,1,0.15,15,1,0,0,0,102
461,0,4,14,22,0.64,1,0,0.169,15,3,2,2,0,102
461,0,4,10,18,0.56,9,0,0.206,10,3,3,3,0,102
642,1,3,4,6,0.67,0,0,0.231,16,1,1,1,0,1
642,1,3,6,6,1,1,0,0.209,23.6,0,2,2,0,1
642,1,3,1,6,0.17,2,0,0.103,11.3,1,0,0,0,1
642,1,3,3,7,0.43,1,0,0.256,8,3,3,3,0,1
642,1,3,2,4,0.5,4,0,0.144,21.3,0,1,1,1,6
642,1,3,8,1,8,2,2,0.221,18.6,0,0,0,1,6
642,1,3,6,5,1.2,2,0,0.152,9.3,3,2,2,1,6
642,1,3,9,4,2.25,1,0,0.274,12.1,3,3,3,1,6
746,0,1,24,29,0.83,10,1,0.217,16,1,0,0,1,250
746,0,1,34,30,1.13,11,4,0.274,22.3,0,1,1,1,250
746,0,1,30,22,1.36,10,4,0.249,17.4,1,3,3,1,250
746,0,1,40,20,2,13,2,0.204,14.2,1,2,2,1,250
746,0,1,22,32,0.69,7,1,0.249,18.9,0,1,1,0,208
746,0,1,15,36,0.42,9,2,0.172,16.8,1,0,0,0,208
746,0,1,37,31,1.19,10,1,0.217,16.1,1,2,2,0,208
746,0,1,27,29,0.93,6,1,0.203,13.2,1,3,3,0,208
954,1,3,7,5,1.4,8,1,0.202,15.3,3,2,2,1,6
954,1,3,12,6,2,5,0,0.211,25.7,0,0,0,1,6
954,1,3,9,7,1.29,2,0,0.179,15.8,3,3,3,1,6
954,1,3,2,6,0.33,4,0,0.144,21.3,3,1,1,1,6
954,1,3,3,8,0.38,3,0,0.148,31.6,0,1,1,0,4
954,1,3,5,8,0.62,2,0,0.137,10.6,0,0,0,0,4
954,1,3,5,9,0.56,2,1,0.159,15.3,0,2,2,0,4
954,1,3,11,6,1.83,0,0,0.202,9.8,3,3,3,0,4
625,2,2,24,27,0.89,12,2,0.282,14,3,0,0,0,3
625,2,2,21,20,1.05,9,4,0.244,16.4,1,4,4,0,3
625,2,2,26,22,1.18,8,0,0.231,13.5,3,3,3,0,3
625,2,2,15,25,0.6,10,0,0.199,11.1,3,1,1,0,3
625,2,2,25,19,1.32,7,3,0.261,15,1,1,1,1,6
625,2,2,21,20,1.05,6,2,0.208,12.2,3,0,0,1,6
625,2,2,19,27,0.7,15,2,0.215,14,3,4,4,1,6
625,2,2,29,21,1.38,7,3,0.25,12.3,3,3,3,1,6
622,0,4,24,23,1.04,6,0,0.241,12.8,3,0,0,1,250
622,0,4,27,19,1.42,9,3,0.247,17.7,0,1,1,1,250
622,0,4,16,19,0.84,11,4,0.214,12.4,1,3,3,1,250
622,0,4,19,21,0.9,6,0,0.171,15.8,1,2,2,1,250
622,0,4,24,18,1.33,10,2,0.281,15.8,1,1,1,0,189
622,0,4,24,24,1,13,5,0.191,15.5,1,0,0,0,189
622,0,4,14,24,0.58,11,5,0.187,15.5,3,2,2,0,189
622,0,4,20,21,0.95,5,0,0.195,13.2,3,3,3,0,189
719,0,1,17,29,0.59,9,2,0.158,13.9,1,2,2,1,250
719,0,1,44,30,1.47,12,2,0.299,22.7,0,1,1,1,250
719,0,1,25,30,0.83,13,3,0.187,14.3,1,0,0,1,250
719,0,1,45,27,1.67,11,2,0.277,15,3,3,3,1,250
719,0,1,30,31,0.97,8,3,0.195,13.1,3,3,3,0,195
719,0,1,19,35,0.54,18,0,0.215,14.9,1,2,2,0,195
719,0,1,25,33,0.76,18,0,0.182,16.5,1,1,1,0,195
719,0,1,42,32,1.31,16,1,0.266,21.6,0,0,0,0,195
698,1,3,3,6,0.5,0,0,0.195,27.6,0,2,2,0,2
698,1,3,6,7,0.86,0,0,0.271,28.2,0,1,1,0,2
698,1,3,1,7,0.14,0,0,0.143,13.3,3,0,0,0,2
698,1,3,6,7,0.86,1,0,0.185,8.5,3,3,3,0,2
698,1,3,11,3,3.67,0,1,0.196,8,3,3,3,1,6
698,1,3,5,5,1,5,0,0.209,16,1,2,2,1,6
698,1,3,5,4,1.25,0,0,0.177,29.6,0,1,1,1,6
698,1,3,6,4,1.5,3,0,0.167,23.8,0,0,0,1,6
625,2,2,14,28,0.5,9,0,0.194,14.8,3,4,4,0,2
625,2,2,28,24,1.17,8,3,0.304,17.1,1,1,1,0,2
625,2,2,21,31,0.68,11,2,0.239,14.3,3,0,0,0,2
625,2,2,29,26,1.12,10,3,0.262,12.4,3,2,2,0,2
625,2,2,30,20,1.5,8,5,0.181,12.4,3,2,2,1,4
625,2,2,19,25,0.76,13,0,0.237,12,3,4,4,1,4
625,2,2,30,24,1.25,13,3,0.218,12.1,3,1,1,1,4
625,2,2,29,23,1.26,14,2,0.238,16.2,1,0,0,1,4
547,0,4,16,22,0.73,6,0,0.225,14.6,3,2,2,0,161
547,0,4,14,20,0.7,8,0,0.221,17.2,1,1,1,0,161
547,0,4,28,20,1.4,4,2,0.228,12.2,3,0,0,0,161
547,0,4,13,27,0.48,10,2,0.228,11.1,3,3,3,0,161
547,0,4,27,17,1.59,11,2,0.24,12.4,3,3,3,1,250
547,0,4,14,19,0.74,10,2,0.167,16.1,1,2,2,1,250
547,0,4,15,21,0.71,16,1,0.18,12,3,1,1,1,250
547,0,4,33,14,2.36,7,5,0.232,20.9,1,0,0,1,250
581,0,3,22,21,1.05,9,0,0.277,21.9,0,0,0,0,107
581,0,3,13,25,0.52,11,0,0.247,21.2,0,1,1,0,107
581,0,3,15,21,0.71,8,1,0.203,15.2,1,3,3,0,107
581,0,3,16,22,0.73,4,0,0.175,14.8,1,2,2,0,107
581,0,3,16,17,0.94,5,1,0.202,15.5,1,2,2,1,250
581,0,3,26,14,1.86,10,0,0.293,25.4,0,1,1,1,250
581,0,3,25,15,1.67,8,1,0.228,16.4,1,0,0,1,250
581,0,3,21,20,1.05,5,0,0.227,15.3,3,3,3,1,250
708,1,0,12,7,1.71,0,1,0.271,15.7,1,2,2,0,3
708,1,0,8,7,1.14,1,0,0.201,15.8,0,0,0,0,3
708,1,0,2,6,0.33,2,0,0.105,14.4,1,3,3,0,3
708,1,0,4,8,0.5,6,0,0.218,13,1,1,1,0,3
708,1,0,7,7,1,3,0,0.296,18.8,1,2,2,1,6
708,1,0,10,6,1.67,2,1,0.231,23.1,0,1,1,1,6
708,1,0,7,7,1,1,0,0.189,11.9,1,0,0,1,6
708,1,0,4,6,0.67,2,1,0.161,16.4,3,3,3,1,6
625,2,6,20,26,0.77,8,1,0.262,13.9,3,0,0,0,2
625,2,6,27,26,1.04,5,0,0.23,22.1,0,4,4,0,2
625,2,6,19,27,0.7,8,2,0.204,14.9,1,3,3,0,2
625,2,6,15,27,0.56,12,0,0.162,13.5,0,1,1,0,2
625,2,6,25,21,1.19,9,3,0.212,17.9,3,4,4,1,11
625,2,6,36,19,1.89,8,3,0.293,22.9,0,1,1,1,11
625,2,6,20,18,1.11,8,1,0.197,12.9,1,0,0,1,11
625,2,6,25,23,1.09,9,2,0.244,13.7,3,2,2,1,11
545,0,0,15,16,0.94,3,1,0.254,14.5,1,2,2,1,250
545,0,0,18,14,1.29,9,2,0.231,22.6,0,1,1,1,250
545,0,0,23,20,1.15,4,0,0.262,17.8,1,0,0,1,250
545,0,0,21,21,1,6,2,0.238,16.9,1,3,3,1,250
545,0,0,15,21,0.71,7,1,0.152,15.1,1,3,3,0,135
545,0,0,20,16,1.25,7,1,0.211,18,0,2,2,0,135
545,0,0,18,20,0.9,8,2,0.216,13.1,1,1,1,0,135
545,0,0,18,20,0.9,9,2,0.231,20.7,0,0,0,0,135
570,1,1,2,7,0.29,0,1,0.145,10.7,3,2,2,0,2
570,1,1,6,7,0.86,1,0,0.192,28.3,0,1,1,0,2
570,1,1,6,6,1,1,0,0.238,20,1,0,0,0,2
570,1,1,5,7,0.71,0,0,0.254,20.4,3,3,3,0,2
570,1,1,11,3,3.67,1,0,0.263,11.9,3,3,3,1,6
570,1,1,3,6,0.5,1,1,0.116,32.3,0,2,2,1,6
570,1,1,6,5,1.2,2,1,0.169,19.6,1,1,1,1,6
570,1,1,7,5,1.4,1,0,0.305,15.8,0,0,0,1,6
625,2,1,22,24,0.92,10,1,0.209,12.9,3,4,4,1,9
625,2,1,22,19,1.16,14,0,0.258,22.2,0,1,1,1,9
625,2,1,22,23,0.96,9,1,0.25,16.3,1,0,0,1,9
625,2,1,36,21,1.71,9,1,0.293,12.7,3,3,3,1,9
625,2,1,23,25,0.92,6,1,0.196,11.4,3,2,2,0,2
625,2,1,29,26,1.12,2,4,0.24,16.8,1,4,4,0,2
625,2,1,16,24,0.67,6,1,0.204,12.7,3,1,1,0,2
625,2,1,19,27,0.7,9,0,0.272,21.1,0,0,0,0,2
575,0,4,32,18,1.78,10,1,0.228,15.7,3,2,2,1,250
575,0,4,14,17,0.82,10,0,0.19,17.5,1,1,1,1,250
575,0,4,25,21,1.19,16,0,0.227,13.8,1,0,0,1,250
575,0,4,18,21,0.86,9,2,0.205,13.6,3,3,3,1,250
575,0,4,22,24,0.92,9,1,0.193,10.1,3,3,3,0,204
575,0,4,12,23,0.52,9,1,0.184,15.6,1,2,2,0,204
575,0,4,16,23,0.7,8,1,0.164,12.5,3,1,1,0,204
575,0,4,27,19,1.42,5,0,0.27,14.3,1,0,0,0,204
680,0,1,20,29,0.69,15,0,0.219,14.4,1,2,2,1,250
680,0,1,36,21,1.71,7,2,0.308,23.4,0,1,1,1,250
680,0,1,38,24,1.58,5,0,0.252,16.8,1,0,0,1,250
680,0,1,25,31,0.81,8,4,0.252,11.9,3,3,3,1,250
680,0,1,32,29,1.1,9,2,0.208,13.9,1,3,3,0,176
680,0,1,17,30,0.57,10,3,0.176,21.9,1,2,2,0,176
680,0,1,27,29,0.93,15,2,0.197,13.8,1,1,1,0,176
680,0,1,29,31,0.94,15,2,0.234,20.3,0,0,0,0,176
576,1,5,8,6,1.33,3,1,0.173,12,3,2,2,1,6
576,1,5,10,5,2,3,0,0.256,17.3,0,1,1,1,6
576,1,5,7,4,1.75,5,0,0.131,13.2,1,0,0,1,6
576,1,5,5,7,0.71,2,0,0.235,14.4,3,3,3,1,6
576,1,5,4,7,0.57,3,0,0.148,12.5,3,3,3,0,3
576,1,5,6,8,0.75,1,0,0.22,14,1,2,2,0,3
576,1,5,6,7,0.86,2,0,0.159,11.3,1,1,1,0,3
576,1,5,6,8,0.75,2,1,0.244,11.2,0,0,0,0,3
625,2,6,20,23,0.87,9,1,0.204,11.9,3,4,4,1,7
625,2,6,25,20,1.25,11,3,0.269,23.9,0,1,1,1,7
625,2,6,30,20,1.5,11,0,0.232,13.7,1,0,0,1,7
625,2,6,19,20,0.95,8,0,0.211,14.2,3,2,2,1,7
625,2,6,21,22,0.95,10,2,0.191,14.2,3,2,2,0,2
625,2,6,13,27,0.48,9,1,0.233,15.3,1,4,4,0,2
625,2,6,24,23,1.04,9,3,0.198,14.3,3,1,1,0,2
625,2,6,25,22,1.14,10,1,0.26,17.8,0,0,0,0,2
